family,species,Qc_m,Qc_sd,Qn_m,Qn_sd,Qp_m,Qp_sd,Dc_m,Dc_sd,Dn_m,Dn_sd,Dp_m,Dp_sd,diet_cat,lwa_m,lwb_m,lwa_sd,lwb_sd,r_m,h_m,linf_m,F0nz_m,F0pz_m,F0pz_sd
Holocentridae,Sargocentron_suborbitale,36.4343267610568,0.383054993879647,9.46307656541466,0.114247350872879,4.35557500033471,0.106020332526686,28.1050049943041,2.29450725453984,5.07054728641801,0.705392047824765,0.860741160502697,0.159517564154988,6,0.01622,2.97,0.00876020408163266,0.086734693877551,1.96697,3.45,25.39999962,0.0037,3.7e-4,5.1e-4
Labridae,Clepticus_africanus,37.7463727864724,0.405402365418331,10.9103656145281,0.123957147063529,3.76445738029936,0.107544099780907,39.9853740159511,3.55429964332648,7.81344090805192,1.07129352043192,0.925273858000879,0.241081248866302,8,0.01,3.05,0.00588775510204082,0.0918367346938776,1.41474453017833,3.09413978484369,30,0.0037,3.7e-4,5.1e-4
Labridae,Chlorurus_strongylocephalus,37.7463727864724,0.405402365418331,10.9103656145281,0.123957147063529,3.76445738029936,0.107544099780907,27.7875749718712,3.14777679911317,4.85463036183304,0.902501838083435,0.629693993769111,0.195253802656414,6,0.01413,3.04,0.00824489795918367,0.0918367346938776,1.41194,2,70,0.0037,3.7e-4,5.1e-4
Labridae,Scarus_coeruleus,37.7463727864724,0.405402365418331,10.9103656145281,0.123957147063529,3.76445738029936,0.107544099780907,27.8068027703558,3.07740171054192,4.8733485456994,0.879174511320466,0.637465584638753,0.190135780755924,6,0.01288,3.05,0.00498469387755102,0.0765306122448981,0.966914,2,120,0.0037,3.7e-4,5.1e-4
Labridae,Leptoscarus_vaigiensis,36.8412276460244,0.521414637803065,10.4885738344102,0.155139397047102,4.2685627001698,0.147447110549806,28.894032130937,4.24133301772864,3.98163075328507,0.822944486350169,0.373911882323427,0.16253374876188,2,0.00891,3.01,0.00244897959183674,0.0663265306122451,1.130235,2.135,35,0.0037,3.7e-4,5.1e-4
Labridae,Calotomus_carolinus,37.0049939985679,0.459253602259557,10.5392737767412,0.136518382818216,4.15968103484324,0.132476540909286,28.7091369115281,4.34672043176867,3.90473640477728,0.844494815237306,0.358836241494905,0.166642859692293,2,0.0123,3.13,0.00380612244897959,0.0714285714285715,1.52403,2,54,0.0037,3.7e-4,5.1e-4
Labridae,Calotomus_viridescens,37.0690897251006,0.474734507629383,10.549823155099,0.141296285516464,4.13057168076857,0.138138868953873,29.0113985807017,4.29502669996824,3.98737942232888,0.833582762952898,0.368670279039414,0.164608401038752,2,0.01995,3.01,0.0122448979591837,0.0918367346938776,1.2983,2,21,0.0037,3.7e-4,5.1e-4
Labridae,Calotomus_spinidens,37.2467278024798,0.517115128919917,10.6053771092091,0.152447779158942,4.04384126323454,0.150686663707578,28.950091262168,4.243828222268,3.99162069459687,0.823253400053396,0.373939536755057,0.162604894014778,2,0.01202,3.13,0.00363265306122449,0.0714285714285715,1.11124,2,30,0.0037,3.7e-4,5.1e-4
Labridae,Cryptotomus_roseus,37.3432046522916,0.627107621387726,10.6168105167729,0.183161034964076,3.99826971803165,0.181695791175259,29.168904461175,4.23092956228374,4.04493405240521,0.820856004427687,0.376734259957844,0.162257118378599,2,0.01202,3.13,0.00427040816326531,0.0765306122448979,1.11485,2,13,0.0037,3.7e-4,5.1e-4
Labridae,Nicholsina_denticulata,37.4146900093058,0.639887840927415,10.6631917841268,0.186136367330185,3.94497096771794,0.185021774348853,28.7032004496163,4.37023027351718,3.89368047739305,0.849206084442682,0.35582928525212,0.167534257525213,2,0.01096,3.08,0.0059234693877551,0.0918367346938774,1.78293,2,32,0.0037,3.7e-4,5.1e-4
Labridae,Sparisoma_cretense,37.5251137301159,0.659266368179809,10.7316063886674,0.190762481423954,3.86296396663976,0.18991031997569,28.7070576599881,4.39523675298922,3.88750371319542,0.854304938904357,0.354220225254585,0.168498070231014,2,0.00955,3.08,0.00236734693877551,0.0612244897959184,1.64453,2.86,50,0.0037,3.7e-4,5.1e-4
Labridae,Sparisoma_radians,37.6575172593878,0.618064584802541,10.8361807480178,0.178063473397917,3.76743666840132,0.177771511547189,28.9381126595054,4.26814929884185,3.97945088187077,0.828288830373823,0.371071067900332,0.16354866998868,2,0.00977,3.06,0.00343367346938776,0.0765306122448979,1.12435,2,20,0.0037,3.7e-4,5.1e-4
Labridae,Sparisoma_atomarium,37.7362603015072,0.592619708651794,10.9252198991834,0.169404531538021,3.67588164484836,0.168996781322649,28.7187929290197,4.39724488116801,3.88958203286368,0.854697832811807,0.354321436909553,0.168571873712636,2,0.015714322511065,3.12478840589298,0.0054640765998536,0.071646183803889,1.41474453017833,2,25,0.0037,3.7e-4,5.1e-4
Labridae,Sparisoma_tuiupiranga,37.7782133399585,0.589729416469097,10.9962257433983,0.167588308281625,3.60925783420181,0.166463331779157,28.8470094668388,4.35937953562217,3.93090474204789,0.846863112615849,0.359993000758583,0.167098273929517,2,0.01622,3.13,0.00562755102040816,0.0714285714285715,1.18429,2,15.399999619999999,0.0037,3.7e-4,5.1e-4
