Order	Family	Genus	Species	Latin_name	Reef_associated
10	Perciformes	Carangidae	Alectis	indicus	Alectis_indicus	1
10006	Perciformes	Gobiidae	Wheelerigobius	maltzani	Wheelerigobius_maltzani	1
1001	Perciformes	Carangidae	Oligoplites	saurus	Oligoplites_saurus	1
1002	Perciformes	Carangidae	Pseudocaranx	dentex	Pseudocaranx_dentex	1
10023	Perciformes	Eleotridae	Ophiocara	porocephala	Ophiocara_porocephala	1
1004	Perciformes	Carangidae	Selene	vomer	Selene_vomer	1
1005	Perciformes	Carangidae	Seriola	dumerili	Seriola_dumerili	1
1006	Perciformes	Carangidae	Seriola	fasciata	Seriola_fasciata	1
1007	Perciformes	Carangidae	Seriola	rivoliana	Seriola_rivoliana	1
1008	Perciformes	Carangidae	Seriola	zonata	Seriola_zonata	1
1010	Perciformes	Carangidae	Trachinotus	falcatus	Trachinotus_falcatus	1
10106	Perciformes	Cheilodactylidae	Nemadactylus	macropterus	Nemadactylus_macropterus	1
1011	Perciformes	Carangidae	Trachinotus	goodei	Trachinotus_goodei	1
10136	Anguilliformes	Muraenidae	Enchelycore	lichenosa	Enchelycore_lichenosa	1
10139	Anguilliformes	Muraenidae	Gymnothorax	chlamydatus	Gymnothorax_chlamydatus	1
10143	Anguilliformes	Muraenidae	Gymnothorax	kidako	Gymnothorax_kidako	1
10145	Anguilliformes	Muraenidae	Gymnothorax	neglectus	Gymnothorax_neglectus	1
10146	Anguilliformes	Muraenidae	Gymnothorax	prasinus	Gymnothorax_prasinus	1
10159	Anguilliformes	Muraenidae	Gymnothorax	reevesii	Gymnothorax_reevesii	1
10160	Anguilliformes	Muraenidae	Gymnothorax	reticularis	Gymnothorax_reticularis	1
1017	Anguilliformes	Congridae	Conger	triporiceps	Conger_triporiceps	1
1018	Pleuronectiformes	Cynoglossidae	Symphurus	diomedeanus	Symphurus_diomedeanus	0
10185	Scorpaeniformes	Scorpaenidae	Scorpaena	maderensis	Scorpaena_maderensis	1
6515	Perciformes	Chaetodontidae	Chaetodon	adiergastos	Chaetodon_adiergastos	1
10196	Perciformes	Haemulidae	Parapristipoma	humile	Parapristipoma_humile	1
10201	Perciformes	Sciaenidae	Umbrina	steindachneri	Umbrina_steindachneri	1
10202	Perciformes	Sphyraenidae	Sphyraena	viridensis	Sphyraena_viridensis	1
10206	Tetraodontiformes	Diodontidae	Chilomycterus	reticulatus	Chilomycterus_reticulatus	1
1021	Scorpaeniformes	Dactylopteridae	Dactylopterus	volitans	Dactylopterus_volitans	1
10216	Anguilliformes	Muraenidae	Pseudechidna	brummeri	Pseudechidna_brummeri	1
10217	Anguilliformes	Muraenidae	Uropterygius	micropterus	Uropterygius_micropterus	1
1022	Tetraodontiformes	Diodontidae	Diodon	hystrix	Diodon_hystrix	1
10220	Siluriformes	Ariidae	Netuma	thalassina	Netuma_thalassina	0
10224	Perciformes	Pomacentridae	Neopomacentrus	anabatoides	Neopomacentrus_anabatoides	1
10225	Syngnathiformes	Syngnathidae	Halicampus	macrorhynchus	Halicampus_macrorhynchus	1
10226	Ophidiiformes	Carapidae	Encheliophis	vermicularis	Encheliophis_vermicularis	1
10227	Perciformes	Pomacentridae	Neopomacentrus	azysron	Neopomacentrus_azysron	1
10228	Perciformes	Pomacentridae	Neopomacentrus	metallicus	Neopomacentrus_metallicus	1
10229	Perciformes	Pomacentridae	Neoglyphidodon	bonang	Neoglyphidodon_bonang	1
10230	Perciformes	Pomacentridae	Neoglyphidodon	carlsoni	Neoglyphidodon_carlsoni	1
10232	Scorpaeniformes	Tetrarogidae	Ablabys	taenianotus	Ablabys_taenianotus	0
10235	Perciformes	Pomacentridae	Neoglyphidodon	polyacanthus	Neoglyphidodon_polyacanthus	1
10239	Perciformes	Pomacentridae	Parma	oligolepis	Parma_oligolepis	1
1024	Perciformes	Ephippidae	Chaetodipterus	faber	Chaetodipterus_faber	1
10242	Perciformes	Pomacentridae	Plectroglyphidodon	flaviventris	Plectroglyphidodon_flaviventris	1
10247	Perciformes	Pomacentridae	Pomacentrus	albimaculus	Pomacentrus_albimaculus	1
10249	Ophidiiformes	Bythitidae	Dermatopsoides	talboti	Dermatopsoides_talboti	1
10250	Syngnathiformes	Syngnathidae	Haliichthys	taeniophorus	Haliichthys_taeniophorus	1
10252	Perciformes	Pomacentridae	Pomacentrus	australis	Pomacentrus_australis	1
10253	Scorpaeniformes	Platycephalidae	Rogadius	welanderi	Rogadius_welanderi	1
10257	Lophiiformes	Ogcocephalidae	Halieutaea	fitzsimonsi	Halieutaea_fitzsimonsi	1
10276	Lophiiformes	Antennariidae	Antennarius	pictus	Antennarius_pictus	1
10277	Perciformes	Pomacentridae	Pomacentrus	opisthostigma	Pomacentrus_opisthostigma	1
10279	Perciformes	Pomacentridae	Pomacentrus	smithi	Pomacentrus_smithi	1
10280	Perciformes	Pomacentridae	Pomacentrus	taeniometopon	Pomacentrus_taeniometopon	1
10281	Perciformes	Pomacentridae	Pomacentrus	wardi	Pomacentrus_wardi	1
10282	Perciformes	Pomacentridae	Pomacentrus	fuscidorsalis	Pomachromis_fuscidorsalis	1
10283	Aulopiformes	Pseudotrichonotidae	Velifer	hypselopterus	Velifer_hypselopterus	0
10287	Perciformes	Chaetodontidae	Coradion	melanopus	Coradion_melanopus	1
10288	Scorpaeniformes	Scorpaenidae	Pterois	mombasae	Pterois_mombasae	1
10293	Perciformes	Chaetodontidae	Amphichaetodon	melbae	Amphichaetodon_melbae	1
10294	Perciformes	Apogonidae	Apogon	apogonides	Apogon_apogonides	1
10297	Perciformes	Pinguipedidae	Parapercis	somaliensis	Parapercis_somaliensis	1
103	Perciformes	Scombridae	Grammatorcynus	bicarinatus	Grammatorcynus_bicarinatus	0
10305	Tetraodontiformes	Diodontidae	Cyclichthys	spilostylus	Cyclichthys_spilostylus	1
10316	Scorpaeniformes	Synanceiidae	Minous	pictus	Minous_pictus	1
10317	Scorpaeniformes	Apistidae	Apistops	caloundra	Apistops_caloundra	0
10330	Lophiiformes	Antennariidae	Lophiocharon	trisignatus	Lophiocharon_trisignatus	1
10331	Lophiiformes	Ogcocephalidae	Halieutaea	stellata	Halieutaea_stellata	1
10332	Lophiiformes	Ogcocephalidae	Halieutaea	indica	Halieutaea_indica	1
10339	Perciformes	Centrogenyidae	Centrogenys	vaigiensis	Centrogenys_vaigiensis	0
10342	Perciformes	Apogonidae	Apogon	ceramensis	Apogon_ceramensis	1
10343	Perciformes	Apogonidae	Apogon	septemstriatus	Apogon_septemstriatus	1
10350	Perciformes	Pempheridae	Pempheris	vanicolensis	Pempheris_vanicolensis	1
58164	Perciformes	Chaetodontidae	Chaetodon	andamanensis	Chaetodon_andamanensis	1
1037	Beloniformes	Exocoetidae	Parexocoetus	brachypterus	Parexocoetus_brachypterus	0
10385	Scorpaeniformes	Tetrarogidae	Snyderina	yamanokami	Snyderina_yamanokami	0
104	Perciformes	Scombridae	Grammatorcynus	bilineatus	Grammatorcynus_bilineatus	0
10406	Anguilliformes	Ophichthidae	Ophichthus	urolophus	Ophichthus_urolophus	1
1043	Clupeiformes	Clupeidae	Sardinella	aurita	Sardinella_aurita	0
10447	Perciformes	Serranidae	Plectranthias	sagamiensis	Plectranthias_sagamiensis	1
10470	Perciformes	Mullidae	Parupeneus	chrysopleuron	Parupeneus_chrysopleuron	1
10472	Perciformes	Pomacanthidae	Chaetodontoplus	melanosoma	Chaetodontoplus_melanosoma	1
10473	Perciformes	Cirrhitidae	Cirrhitichthys	aureus	Cirrhitichthys_aureus	1
1048	Perciformes	Gerreidae	Diapterus	rhombeus	Diapterus_rhombeus	0
1049	Perciformes	Gerreidae	Eucinostomus	argenteus	Eucinostomus_argenteus	0
1050	Perciformes	Gerreidae	Eucinostomus	gula	Eucinostomus_gula	0
10507	Perciformes	Pinguipedidae	Parapercis	mimaseana	Parapercis_mimaseana	1
1052	Perciformes	Gerreidae	Eucinostomus	melanopterus	Eucinostomus_melanopterus	0
10528	Scorpaeniformes	Tetrarogidae	Cottapistus	cottoides	Cottapistus_cottoides	0
10537	Scorpaeniformes	Synanceiidae	Inimicus	sinensis	Inimicus_sinensis	1
1054	Perciformes	Gerreidae	Gerres	cinereus	Gerres_cinereus	0
10541	Perciformes	Pseudochromidae	Pseudochromis	quinquedentatus	Pseudochromis_quinquedentatus	1
10543	Perciformes	Apogonidae	Apogon	brevicaudata	Apogon_brevicaudata	1
10547	Perciformes	Ephippidae	Platax	batavianus	Platax_batavianus	1
10548	Perciformes	Labridae	Choerodon	zamboangae	Choerodon_zamboangae	1
1055	Aulopiformes	Synodontidae	Saurida	undosquamis	Saurida_undosquamis	1
10553	Tetraodontiformes	Monacanthidae	Pseudomonacanthus	peroni	Pseudomonacanthus_peroni	1
1056	Perciformes	Serranidae	Rypticus	saponaceus	Rypticus_saponaceus	1
10576	Perciformes	Labridae	Leptojulis	cyanopleura	Leptojulis_cyanopleura	1
10584	Pleuronectiformes	Soleidae	Aseraggodes	cyaneus	Aseraggodes_cyaneus	0
1059	Beloniformes	Hemiramphidae	Hemiramphus	brasiliensis	Hemiramphus_brasiliensis	0
10598	Tetraodontiformes	Monacanthidae	Pseudomonacanthus	macrurus	Pseudomonacanthus_macrurus	1
106	Perciformes	Scombridae	Gymnosarda	unicolor	Gymnosarda_unicolor	0
1092	Perciformes	Mullidae	Mulloidichthys	martinicus	Mulloidichthys_martinicus	1
1093	Perciformes	Mullidae	Mullus	auratus	Mullus_auratus	1
10934	Perciformes	Pomacanthidae	Apolemichthys	guezei	Apolemichthys_guezei	1
10938	Perciformes	Pomacanthidae	Apolemichthys	xanthopunctatus	Apolemichthys_xanthopunctatus	1
