	Diets	Size_Class	Home_Range	Activity	Schooling	Level_water
10	FC	S6	VMob	Both	SmallG	High
10006	IM	S1	Sed	Day	Sol	Bottom
1001	FC	S4	VMob	Both	MedG	High
1002	FC	S6	VMob	Both	SmallG	High
10023	IM	S4	Sed	Day	Sol	Bottom
1004	IM	S4	VMob	Day	MedG	High
1005	FC	S6	VMob	Both	SmallG	High
1006	FC	S5	VMob	Day	MedG	High
1007	FC	S6	VMob	Both	SmallG	High
1008	FC	S5	VMob	Day	MedG	High
1010	IM	S6	VMob	Day	MedG	Low
10106	IM	S5	VMob	Both	LargeG	Bottom
1011	IM	S5	VMob	Day	MedG	Low
10136	FC	S6	Sed	Night	Sol	Bottom
10139	IM	S5	Sed	Night	Sol	Bottom
10143	FC	S6	Sed	Night	Sol	Bottom
10145	FC	S6	Sed	Night	Sol	Bottom
10146	FC	S6	Sed	Night	Sol	Bottom
10159	FC	S5	Sed	Night	Sol	Bottom
10160	FC	S5	Sed	Night	Sol	Bottom
1017	FC	S6	Sed	Day	Sol	Bottom
1018	IM	S2	Sed	Day	Sol	Bottom
10185	FC	S2	Sed	Night	Sol	Bottom
10191	IM	S2	Sed	Day	Pair	Low
10196	IM	S4	Mob	Both	LargeG	Low
10201	IM	S4	Mob	Both	SmallG	Low
10202	FC	S5	VMob	Night	SmallG	High
10206	IM	S5	Mob	Both	Sol	Bottom
1021	IM	S5	Sed	Both	Sol	Bottom
10216	FC	S6	Sed	Night	Sol	Bottom
10217	IM	S4	Sed	Night	Sol	Bottom
1022	IM	S6	Mob	Both	Sol	Bottom
10220	IM	S6	VMob	Night	MedG	Bottom
10224	PK	S2	Sed	Day	LargeG	Low
10225	IM	S3	Sed	Day	Sol	Bottom
10226	OM	S2	Sed	Night	Sol	Bottom
10227	PK	S2	Sed	Day	LargeG	Low
10228	PK	S1	Sed	Day	LargeG	Low
10229	OM	S2	Sed	Day	SmallG	Bottom
10230	OM	S2	Sed	Day	SmallG	Bottom
10232	IM	S2	Sed	Night	Sol	Bottom
10235	OM	S2	Sed	Day	SmallG	Bottom
10239	HD	S3	Sed	Day	Sol	Bottom
1024	IM	S6	VMob	Day	MedG	High
10242	OM	S2	Sed	Day	Sol	Bottom
10247	OM	S2	Sed	Day	SmallG	Bottom
10249	IM	S1	Sed	Night	Sol	Bottom
10250	IM	S4	Sed	Day	Sol	Bottom
10252	OM	S2	Sed	Day	SmallG	Bottom
10253	IM	S2	VMob	Both	SmallG	Bottom
10257	FC	S4	Mob	Night	Sol	Bottom
10276	FC	S3	Sed	Night	Sol	Bottom
10277	OM	S1	Sed	Day	Sol	Bottom
10279	PK	S2	Sed	Day	LargeG	Low
10280	OM	S2	Sed	Day	SmallG	Bottom
10281	OM	S2	Sed	Day	SmallG	Bottom
10282	PK	S1	Sed	Day	MedG	Low
10283	IM	S4	VMob	Both	Sol	Low
10287	IM	S3	Sed	Day	Pair	Bottom
10288	FC	S3	Sed	Night	Sol	Low
10293	IM	S2	Sed	Day	Sol	Bottom
10294	IM	S2	Sed	Night	SmallG	Low
10297	IM	S3	Mob	Day	Sol	Bottom
103	FC	S6	VMob	Both	SmallG	High
10305	IM	S4	Mob	Both	Sol	Bottom
10316	FC	S2	Sed	Night	Sol	Bottom
10317	IM	S3	Sed	Night	Sol	Bottom
10330	FC	S2	Sed	Night	Sol	Bottom
10331	FC	S4	Mob	Night	Sol	Bottom
10332	FC	S3	Mob	Night	Sol	Bottom
10339	IM	S3	Sed	Both	Sol	Bottom
10342	PK	S2	Sed	Night	LargeG	Low
10343	PK	S1	Sed	Night	SmallG	Low
10350	PK	S3	Sed	Night	MedG	Low
10352	IS	S3	Sed	Day	Pair	Bottom
