"","Species","Video_occ"
"2","Acanthurus_bariene","2020_11_05_camC2_AI_GP084047"
"3","Acanthurus_leucosternon","2020_11_03_camC2_AE_GP054041"
"4","Acanthurus_leucosternon","2020_11_05_camA1_AP_GP157060"
"5","Acanthurus_leucosternon","2020_11_05_camA1_BI_GP347060"
"6","Acanthurus_mata","2020_11_05_camC2_AN_GP134047"
"7","Acanthurus_mata","2020_11_08_camC2_AE_GP124049"
"8","Acanthurus_mata","2020_11_09_camA1_AF_GP107064"
"9","Acanthurus_mata","2020_11_09_camC1_BD_GP350238"
"10","Acanthurus_olivaceus","2020_11_09_camC1_BB_GP330238"
"11","Acanthurus_olivaceus","2020_11_09_camC1_BD_GP350238"
"12","Acanthurus_pyroferus","2020_11_04_camC2_AC_GP044046"
"13","Acanthurus_thompsoni","2020_11_05_camA1_AH_GP077060"
"14","Acanthurus_thompsoni","2020_11_05_camA1_AK_GP107060"
"15","Acanthurus_thompsoni","2020_11_05_camA1_AL_GP117060"
"16","Acanthurus_thompsoni","2020_11_05_camA1_AM_GP127060"
"17","Acanthurus_thompsoni","2020_11_09_camC1_BA_GP320238"
"18","Acanthurus_thompsoni","2020_11_09_camC1_BB_GP330238"
"19","Acanthurus_thompsoni","2020_11_09_camC1_BC_GP340238"
"20","Acanthurus_thompsoni","2020_11_09_camC1_BD_GP350238"
"21","Acanthurus_thompsoni","2020_11_09_camC1_BJ_GP410238"
"22","Aluterus_scriptus","2020_11_08_camC2_BH_GP414049"
"23","Anampses_twistii","2020_11_05_camC2_AU_GP204047"
"24","Anyperodon_leucogrammicus","2020_11_03_camC2_AE_GP054041"
"25","Anyperodon_leucogrammicus","2020_11_03_camC2_BB_GP284041"
"26","Anyperodon_leucogrammicus","2020_11_03_camC2_BH_GP344041"
"27","Anyperodon_leucogrammicus","2020_11_06_camA1_AK_GP114495"
"28","Anyperodon_leucogrammicus","2020_11_06_camA1_AU_GP214495"
"29","Anyperodon_leucogrammicus","2020_11_06_camA1_AZ_GP264495"
"30","Anyperodon_leucogrammicus","2020_11_09_camA1_BA_GP317064"
"31","Anyperodon_leucogrammicus","2020_11_09_camA1_BI_GP397064"
"32","Anyperodon_leucogrammicus","2020_11_09_camA1_BK_GP417064"
"33","Anyperodon_leucogrammicus","2020_11_09_camA1_BL_GP427064"
"34","Anyperodon_leucogrammicus","2020_11_09_camC1_AE_GP100238"
"35","Arothron_hispidus","2020_11_04_camC2_AP_GP174046"
"36","Arothron_hispidus","2020_11_06_camA1_AP_GP164495"
"37","Arothron_mappa","2020_11_05_camA1_AK_GP107060"
"38","Arothron_mappa","2020_11_05_camC2_AH_GP074047"
"39","Arothron_mappa","2020_11_09_camA1_AT_GP247064"
"40","Arothron_nigropunctatus","2020_11_04_camC2_BB_GP294046"
"41","Arothron_nigropunctatus","2020_11_04_camC2_BD_GP314046"
"42","Arothron_nigropunctatus","2020_11_04_camC2_BG_GP344046"
"43","Arothron_nigropunctatus","2020_11_05_camC2_AH_GP074047"
"44","Arothron_nigropunctatus","2020_11_06_camA1_BK_GP374495"
"45","Arothron_nigropunctatus","2020_11_06_camC2_AE_GP074048"
"46","Arothron_nigropunctatus","2020_11_06_camC2_AF_GP084048"
"47","Arothron_nigropunctatus","2020_11_06_camC2_AR_GP204048"
"48","Arothron_nigropunctatus","2020_11_06_camC2_AW_GP254048"
"49","Arothron_nigropunctatus","2020_11_08_camA1_AF_GP067063"
"50","Arothron_nigropunctatus","2020_11_09_camA1_BC_GP337064"
"51","Arothron_nigropunctatus","2020_11_09_camA1_BE_GP357064"
"52","Arothron_nigropunctatus","2020_11_09_camA1_BH_GP387064"
"53","Arothron_nigropunctatus","2020_11_09_camC1_AH_GP130238"
"54","Arothron_nigropunctatus","2020_11_09_camC1_AK_GP160238"
"55","Arothron_nigropunctatus","2020_11_09_camC1_AS_GP240238"
"56","Arothron_nigropunctatus","2020_11_09_camC1_AV_GP270238"
"57","Arothron_nigropunctatus","2020_11_09_camC1_AZ_GP310238"
"58","Arothron_nigropunctatus","2020_11_09_camC1_BE_GP360238"
"59","Arothron_nigropunctatus","2020_11_09_camC1_BI_GP400238"
"60","Balistoides_viridescens","2020_11_09_camA1_BF_GP367064"
"61","Caesio_lunaris","2020_11_08_camC2_BI_GP424049"
"62","Calotomus_carolinus","2020_11_04_camA1_AI_GP077059"
"63","Calotomus_carolinus","2020_11_04_camC2_AD_GP054046"
"64","Calotomus_carolinus","2020_11_04_camC2_AH_GP094046"
"65","Calotomus_carolinus","2020_11_04_camC2_AM_GP144046"
"66","Calotomus_carolinus","2020_11_04_camC2_AN_GP154046"
"67","Calotomus_carolinus","2020_11_04_camC2_AO_GP164046"
"68","Calotomus_carolinus","2020_11_04_camC2_AP_GP174046"
"69","Calotomus_carolinus","2020_11_05_camA1_AJ_GP097060"
"70","Calotomus_carolinus","2020_11_06_camC2_AE_GP074048"
"71","Calotomus_carolinus","2020_11_09_camA1_AK_GP157064"
"72","Calotomus_carolinus","2020_11_09_camA1_AL_GP167064"
"73","Calotomus_carolinus","2020_11_09_camA1_BF_GP367064"
"74","Calotomus_carolinus","2020_11_09_camA1_BJ_GP407064"
"75","Calotomus_carolinus","2020_11_09_camC1_AK_GP160238"
"76","Calotomus_carolinus","2020_11_09_camC1_BB_GP330238"
"77","Calotomus_carolinus","2020_11_09_camC1_BD_GP350238"
"78","Calotomus_spinidens","2020_11_03_camA1_AI_GP087057"
"79","Calotomus_spinidens","2020_11_05_camC2_AG_GP064047"
"80","Calotomus_spinidens","2020_11_08_camC2_AC_GP104049"
"81","Calotomus_spinidens","2020_11_08_camC2_BF_GP394049"
"82","Calotomus_spinidens","2020_11_09_camA1_AI_GP137064"
"83","Calotomus_spinidens","2020_11_09_camA1_AR_GP227064"
"84","Calotomus_spinidens","2020_11_09_camC1_AT_GP250238"
"85","Calotomus_spinidens","2020_11_09_camC1_AU_GP260238"
"86","Calotomus_spinidens","2020_11_09_camC1_AV_GP270238"
"87","Calotomus_spinidens","2020_11_09_camC1_BA_GP320238"
"88","Calotomus_spinidens","2020_11_09_camC1_BD_GP350238"
"89","Cantherhines_pardalis","2020_11_05_camC2_AS_GP184047"
"90","Cantherhines_pardalis","2020_11_05_camC2_BJ_GP354047"
"91","Cantherhines_pardalis","2020_11_06_camA1_BG_GP334495"
"92","Cantherhines_pardalis","2020_11_08_camA1_AJ_GP107063"
"93","Cantherhines_pardalis","2020_11_08_camA1_BH_GP347063"
"94","Cantherhines_pardalis","2020_11_08_camA1_BJ_GP367063"
"95","Canthigaster_cyanospilota","2020_11_09_camA1_AJ_GP147064"
"96","Canthigaster_solandri","2020_11_06_camA1_AF_GP064495"
"97","Canthigaster_solandri","2020_11_06_camA1_AG_GP074495"
"98","Canthigaster_solandri","2020_11_09_camC1_AJ_GP150238"
"99","Canthigaster_valentini","2020_11_05_camC2_AQ_GP164047"
"100","Canthigaster_valentini","2020_11_05_camC2_AR_GP174047"
"101","Canthigaster_valentini","2020_11_06_camA1_AH_GP084495"
"102","Canthigaster_valentini","2020_11_06_camA1_AJ_GP104495"
"103","Canthigaster_valentini","2020_11_06_camA1_BH_GP344495"
"104","Canthigaster_valentini","2020_11_09_camA1_AF_GP107064"
"105","Canthigaster_valentini","2020_11_09_camA1_AP_GP207064"
"106","Canthigaster_valentini","2020_11_09_camA1_AR_GP227064"
"107","Canthigaster_valentini","2020_11_09_camA1_AS_GP237064"
"108","Canthigaster_valentini","2020_11_09_camA1_AX_GP287064"
"109","Canthigaster_valentini","2020_11_09_camA1_AY_GP297064"
"110","Canthigaster_valentini","2020_11_09_camA1_BB_GP327064"
"111","Canthigaster_valentini","2020_11_09_camA1_BK_GP417064"
"112","Canthigaster_valentini","2020_11_09_camA1_BL_GP427064"
"113","Carangoides_ferdau","2020_11_05_camA1_AG_GP067060"
"114","Carangoides_ferdau","2020_11_08_camC2_AT_GP274049"
"115","Cephalopholis_cyanostigma","2020_11_08_camC2_BD_GP374049"
"116","Cephalopholis_cyanostigma","2020_11_09_camA1_BH_GP387064"
"117","Cephalopholis_cyanostigma","2020_11_09_camC1_AP_GP210238"
"118","Cephalopholis_nigripinnis","2020_11_08_camC2_BC_GP364049"
"119","Chaetodon_guttatissimus","2020_11_04_camC2_AC_GP044046"
"120","Chaetodon_guttatissimus","2020_11_04_camC2_AJ_GP114046"
"121","Chaetodon_guttatissimus","2020_11_04_camC2_AK_GP124046"
"122","Chaetodon_guttatissimus","2020_11_05_camA1_AM_GP127060"
"123","Chaetodon_guttatissimus","2020_11_05_camA1_AQ_GP167060"
"124","Chaetodon_guttatissimus","2020_11_09_camC1_AJ_GP150238"
"125","Chaetodon_guttatissimus","2020_11_09_camC1_BD_GP350238"
"126","Chaetodon_meyeri","2020_11_03_camC2_BH_GP344041"
"127","Chaetodon_meyeri","2020_11_06_camA1_AG_GP074495"
"128","Chaetodon_meyeri","2020_11_06_camA1_AH_GP084495"
"129","Chaetodon_meyeri","2020_11_06_camA1_AI_GP094495"
"130","Chaetodon_meyeri","2020_11_06_camA1_AJ_GP104495"
"131","Chaetodon_meyeri","2020_11_08_camC2_AJ_GP174049"
"132","Cheilinus_chlorourus","2020_11_04_camC2_AH_GP094046"
"133","Cheilinus_chlorourus","2020_11_04_camC2_AP_GP174046"
"134","Cheilinus_chlorourus","2020_11_04_camC2_AX_GP254046"
"135","Cheilinus_chlorourus","2020_11_05_camA1_BB_GP277060"
"136","Cheilinus_chlorourus","2020_11_05_camA1_BD_GP297060"
"137","Cheilio_inermis","2020_11_04_camC2_AT_GP214046"
"138","Cheilio_inermis","2020_11_05_camA1_AJ_GP097060"
"139","Cheilio_inermis","2020_11_05_camA1_AK_GP107060"
"140","Cheilio_inermis","2020_11_06_camA1_AH_GP084495"
